No,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,Manufacture Date
809,BMW X4 xDrive30i M Sport Silver Shadow Edition,74.50 Lakh,"7,600 kms",Petrol,Automatic,1st Owner,2022,1497 cc,5 Seats,"June 11, 2022"
810,Honda City i-VTEC CVT ZX,8.90 Lakh,"57,826 kms",Petrol,Automatic,2nd Owner,2017,1497 cc,5 Seats,"January 01, 2017"
811,Tata Nexon 1.5 Revotorq XM,6.25 Lakh,"91,216 kms",Diesel,Manual,1st Owner,2017,998 cc,5 Seats,"October 20, 2017"
812,Hyundai Venue SX Turbo,9.99 Lakh,"13,731 kms",Petrol,Manual,1st Owner,2021,1497 cc,5 Seats,"August 20, 2021"
813,Honda City i-VTEC V,7.50 Lakh,"60,477 kms",Petrol,Manual,1st Owner,2017,1248 cc,5 Seats,"March 23, 2017"
814,Maruti Swift Dzire AMT ZDI,6.39 Lakh,"1,05,911 kms",Diesel,Automatic,1st Owner,2017,1591 cc,5 Seats,"December 05, 2017"
815,Hyundai Verna VTVT 1.6 SX,9.25 Lakh,"18,072 kms",Petrol,Manual,2nd Owner,2019,1197 cc,5 Seats,"February 08, 2019"
816,Hyundai i20 1.2 Asta,6.99 Lakh,"53,608 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,"July 27, 2018"
817,Toyota Glanza G,7.99 Lakh,"17,790 kms",Petrol,Manual,1st Owner,2021,1197 cc,5 Seats,"January 13, 2021"
818,Hyundai Grand i10 Nios Sportz,6.69 Lakh,"24,154 kms",Petrol,Manual,1st Owner,2020,799 cc,5 Seats,"December 20, 2020"
819,Renault KWID RXT,3 Lakh,"24,744 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats,"September 08, 2016"
820,Hyundai Grand i10 Nios Magna Corp Edition,5.78 Lakh,"38,985 kms",Petrol,Manual,2nd Owner,2020,1197 cc,5 Seats,"October 01, 2020"
821,Maruti Ritz VXi,3.28 Lakh,"41,050 kms",Petrol,Manual,1st Owner,2014,998 cc,5 Seats,"March 24, 2014"
822,Maruti Alto K10 VXI,3.68 Lakh,"61,714 kms",Petrol,Manual,1st Owner,2017,1462 cc,5 Seats,"December 21, 2017"
823,Maruti Vitara Brezza VXI,8.74 Lakh,"20,092 kms",Petrol,Manual,1st Owner,2020,999 cc,5 Seats,"April 20, 2020"
824,Nissan Magnite XV Premium,6.76 Lakh,"74,811 kms",Petrol,Manual,1st Owner,2021,1462 cc,5 Seats,"December 12, 2021"
825,Maruti Ertiga ZXI Plus,9.79 Lakh,"8,702 kms",Petrol,Manual,1st Owner,2019,1199 cc,7 Seats,"February 05, 2019"
826,Honda Amaze S Petrol BSIV,6.10 Lakh,"34,039 kms",Petrol,Manual,1st Owner,2019,1497 cc,5 Seats,"June 20, 2019"
827,Honda City i VTEC CVT VX,6.70 Lakh,"98,285 kms",Petrol,Automatic,2nd Owner,2016,1956 cc,5 Seats,"May 02, 2016"
828,Jeep Compass 2.0 Limited,13.50 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2018,1197 cc,5 Seats,"January 04, 2018"
829,Hyundai Grand i10 Magna,4.80 Lakh,"50,000 kms",Petrol,Manual,1st Owner,2020,1395 cc,5 Seats,"November 25, 2020"
830,Audi Q3 30 TFSI Premium FWD,19.55 Lakh,"1,20,000 kms",Petrol,Automatic,1st Owner,2018,2179 cc,5 Seats,"May 07, 2018"
831,Mahindra XUV500 W7 BSIV,10.74 Lakh,"76,813 kms",Diesel,Manual,1st Owner,2018,2487 cc,7 Seats,"August 10, 2018"
832,Maruti Omni E 8 Str STD,1.25 Lakh,"80,000 kms",Petrol,Manual,2nd Owner,2011,1950 cc,5 Seats,"June 16, 2011"
833,Toyota Camry Hybrid 2.5,40.90 Lakh,"20,000 kms",Petrol,Automatic,1st Owner,2019,2393 cc,5 Seats,"September 25, 2019"
834,Mercedes-Benz C-Class Progressive C 220d,39 Lakh,"24,000 kms",Diesel,Automatic,2nd Owner,2020,1197 cc,7 Seats,"November 21, 2020"
835,Toyota Innova Crysta 2.4 G MT,18.90 Lakh,"43,200 kms",Diesel,Manual,1st Owner,2017,2143 cc,5 Seats,"October 12, 2017"
836,Hyundai i20 Magna Plus,6.50 Lakh,"42,000 kms",Petrol,Manual,1st Owner,2020,1461 cc,5 Seats,"September 17, 2020"
837,Mercedes-Benz GLE 250d,44 Lakh,"49,000 kms",Diesel,Automatic,1st Owner,2017,2184 cc,5 Seats,"December 23, 2017"
838,Mahindra Verito 1.5 D4 BSIII,1.80 Lakh,"1,95,000 kms",Diesel,Manual,1st Owner,2013,1197 cc,4 Seats,"May 19, 2013"
839,Mahindra Thar LX 4-Str Convert Top Diesel,16.50 Lakh,"12,200 kms",Diesel,Manual,1st Owner,2021,1950 cc,5 Seats,"May 15, 2021"
840,Hyundai Aura SX,6.90 Lakh,"23,000 kms",Petrol,Manual,1st Owner,2021,1582 cc,5 Seats,"September 18, 2021"
